time,axis,target,baseline,damped,baseline_v,damped_v
7.25,0,1.23205,1.1973,1.2153,-0.0067819,-0.00508703
7.25,1,-0.362601,-0.354535,-0.354578,-0.0648739,-0.0207957
7.3,0,1.23367,1.1971,1.21529,-0.00193864,0.00436791
7.3,1,-0.359325,-0.357772,-0.355573,-0.0642194,-0.0188323
7.35,0,1.23497,1.19708,1.2157,0.000443714,0.0120637
7.35,1,-0.358368,-0.360903,-0.356429,-0.0609469,-0.0152937
7.4,0,1.23497,1.19719,1.21647,0.00397798,0.0182883
7.4,1,-0.358368,-0.3638,-0.357099,-0.0550564,-0.0116365
7.45,0,1.23584,1.19754,1.21751,0.0101302,0.0229355
7.45,1,-0.361269,-0.366329,-0.35761,-0.046548,-0.00919814
7.5,0,1.23548,1.19828,1.21874,0.0189005,0.0261066
7.5,1,-0.361679,-0.368361,-0.358052,-0.0354215,-0.00857958
7.55,0,1.23438,1.19953,1.22009,0.0302888,0.0277073
7.55,1,-0.366668,-0.369787,-0.35847,-0.0231431,-0.00816932
7.6,0,1.23438,1.2014,1.22148,0.0431954,0.0277394
7.6,1,-0.366668,-0.370664,-0.358899,-0.0133256,-0.00942692
7.65,0,1.23331,1.20387,1.22285,0.0540601,0.0266233
7.65,1,-0.37296,-0.371121,-0.359447,-0.00612618,-0.0128638
7.7,0,1.2355,1.20682,1.22414,0.0630398,0.0254393
7.7,1,-0.374167,-0.371291,-0.360219,-0.00154471,-0.0179825
7.75,0,1.24296,1.21019,1.2254,0.0709199,0.0251093
7.75,1,-0.376508,-0.371303,-0.361224,0.000418759,-0.0221031
7.8,0,1.24296,1.21397,1.22669,0.0791666,0.026582
7.8,1,-0.376508,-0.371289,-0.36243,-0.000131045,-0.0259215
7.85,0,1.2491,1.21815,1.22811,0.0871515,0.0306726
7.85,1,-0.376514,-0.37136,-0.363788,-0.00287996,-0.0281532
7.9,0,1.26168,1.22269,1.22978,0.0940891,0.0365709
7.9,1,-0.373683,-0.371636,-0.365228,-0.00772328,-0.0291122
7.95,0,1.26895,1.22761,1.2318,0.101812,0.0447144
7.95,1,-0.373616,-0.372115,-0.366658,-0.010734,-0.0277797
8,0,1.26895,1.23293,1.2343,0.109745,0.0553188
8,1,-0.373616,-0.372674,-0.367995,-0.0111267,-0.0257219
8.05,0,1.27252,1.23861,1.23732,0.11663,0.0653097
8.05,1,-0.370871,-0.37318,-0.369213,-0.00890145,-0.0226076
8.1,0,1.27305,1.24458,1.24078,0.121211,0.0727517
8.1,1,-0.369051,-0.373503,-0.370246,-0.00421527,-0.0184863
8.15,0,1.27611,1.2507,1.24455,0.123332,0.0775757
8.15,1,-0.368136,-0.373606,-0.371063,-0.000680999,-0.0142421
8.2,0,1.27611,1.25691,1.2485,0.124248,0.0797817
8.2,1,-0.368136,-0.373595,-0.371671,0.00102067,-0.0102167
8.25,0,1.26972,1.26308,1.25249,0.122547,0.0793697
8.25,1,-0.372437,-0.373451,-0.372111,0.00465966,-0.00780651
8.3,0,1.25714,1.2691,1.25639,0.118227,0.0763397
8.3,1,-0.374924,-0.373139,-0.372493,0.00714673,-0.00789135
8.35,0,1.26117,1.27483,1.26008,0.111289,0.0706917
8.35,1,-0.377548,-0.372775,-0.372918,0.00701581,-0.009102
8.4,0,1.26117,1.28015,1.26342,0.101733,0.0624257
8.4,1,-0.377548,-0.372489,-0.373425,0.00426689,-0.0111627
8.45,0,1.26359,1.28491,1.26628,0.0895859,0.0521175
8.45,1,-0.376787,-0.372381,-0.374012,0.000784929,-0.0120914
8.5,0,1.26497,1.28903,1.26866,0.076496,0.0431759
8.5,1,-0.37512,-0.372387,-0.374622,-0.000916793,-0.011961
8.55,0,1.26697,1.29249,1.27063,0.063406,0.0360035
8.55,1,-0.368257,-0.372523,-0.375192,-0.00439875,-0.0107173
8.6,0,1.26697,1.2953,1.27229,0.0503161,0.0306784
8.6,1,-0.368257,-0.372808,-0.375656,-0.00636227,-0.00742481
8.65,0,1.27189,1.29746,1.27373,0.0372261,0.0272133
8.65,1,-0.366808,-0.373119,-0.375895,-0.0057078,-0.00207958
8.7,0,1.28001,1.29897,1.27506,0.0246859,0.0263662
8.7,1,-0.361958,-0.373326,-0.375868,-0.00248769,0.00349342
8.75,0,1.28401,1.29991,1.27641,0.0146067,0.0281372
8.75,1,-0.363239,-0.373371,-0.375534,-6.2e-07,0.00956181
8.8,0,1.28401,1.30043,1.27791,0.00714542,0.031919
8.8,1,-0.363239,-0.37332,-0.374953,0.00222465,0.0133046
8.85,0,1.2882,1.30064,1.27961,0.00230215,0.0362169
8.85,1,-0.360209,-0.373087,-0.374194,0.00706792,0.017141
8.9,0,1.28605,1.30068,1.2815,7.68799e-05,0.0391124
8.9,1,-0.359991,-0.372539,-0.373258,0.0145292,0.0200891
8.95,0,1.27991,1.30064,1.28348,-0.00188659,0.0394584
8.95,1,-0.359468,-0.371558,-0.372202,0.0237707,0.0220287
9,0,1.27991,1.30044,1.28541,-0.00646806,0.0371864
9,1,-0.359468,-0.370147,-0.371066,0.0314937,0.0232638
9.05,0,1.27103,1.29992,1.28715,-0.0136675,0.0322963
9.05,1,-0.358684,-0.368395,-0.369879,0.0375936,0.0241179
9.1,0,1.26748,1.29898,1.28859,-0.023485,0.0247883
9.1,1,-0.357667,-0.366394,-0.368659,0.0418086,0.0247047
9.15,0,1.25237,1.29748,1.28959,-0.0358419,0.0146623
9.15,1,-0.356522,-0.364234,-0.367415,0.0442433,0.0251067
9.2,0,1.23544,1.29532,1.29001,-0.0489318,0.00209406
9.2,1,-0.35882,-0.361986,-0.366151,0.0451596,0.0253316
9.25,0,1.23544,1.29252,1.28979,-0.0620218,-0.0109959
9.25,1,-0.35882,-0.359764,-0.364913,0.0434578,0.0238688
9.3,0,1.22418,1.28906,1.28892,-0.0751117,-0.0240858
9.3,1,-0.356671,-0.35768,-0.363761,0.04029,0.0225473
9.35,0,1.20107,1.28494,1.28738,-0.0882017,-0.0371758
9.35,1,-0.359905,-0.355787,-0.362653,0.0354467,0.0215436
9.4,0,1.20107,1.28017,1.2852,-0.101292,-0.0502657
9.4,1,-0.359905,-0.354209,-0.361644,0.0279854,0.0186531
9.45,0,1.18662,1.27475,1.28236,-0.114382,-0.0633557
9.45,1,-0.359851,-0.353076,-0.360786,0.0180632,0.0157518
9.5,0,1.17057,1.26867,1.27886,-0.127445,-0.0764456
9.5,1,-0.362476,-0.352424,-0.360072,0.00929289,0.0124555
9.55,0,1.15254,1.26194,1.27471,-0.140431,-0.0895356
9.55,1,-0.366519,-0.35214,-0.359549,0.00314057,0.00837271
9.6,0,1.13903,1.25456,1.26991,-0.153416,-0.102626
9.6,1,-0.369395,-0.352091,-0.359265,-0.000446104,0.00296987
9.65,0,1.13903,1.24653,1.26445,-0.166349,-0.115715
9.65,1,-0.369395,-0.352221,-0.359266,-0.00476582,-0.00294131
9.7,0,1.14631,1.2379,1.25834,-0.177213,-0.128805
9.7,1,-0.369025,-0.35264,-0.359531,-0.0117035,-0.00730679
9.75,0,1.15972,1.2288,1.25157,-0.18546,-0.141895
9.75,1,-0.363309,-0.353468,-0.359975,-0.0204738,-0.0101297
9.8,0,1.16213,1.21937,1.24417,-0.191089,-0.153807
9.8,1,-0.363842,-0.354686,-0.360501,-0.0272021,-0.0105009
